Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
26.1.2018;31,80;32,00;32,00;32,00;31,70;32,00;31,995;2098;67126,2;48;
25.1.2018;31,70;32,00;31,50;32,00;31,50;31,70;31,902;3712;118420,1;79;
24.1.2018;31,60;31,90;31,50;31,90;31,40;31,90;31,766;5065;160894;82;
23.1.2018;31,30;31,50;30,30;31,50;30,30;31,30;30,958;7329;226892,9;120;
22.1.2018;29,90;30,20;29,50;30,20;29,20;29,80;29,72;5932;176296,6;87;
19.1.2018;28,90;29,10;28,60;29,50;27,80;29,10;28,424;15781;448543,95;224;
18.1.2018;28,50;28,80;30,70;30,70;28,00;28,80;29,113;25587;744910,3;332;
17.1.2018;30,40;30,70;31,50;31,50;29,70;30,80;30,602;16031;490585,6;216;
16.1.2018;31,50;31,60;34,50;34,70;31,50;31,50;32,612;15112;492825,3;229;
15.1.2018;34,40;34,80;34,40;34,90;34,40;34,80;34,657;6349;220036,9;87;
12.1.2018;34,20;34,50;33,60;34,50;33,60;34,50;34,181;9619;328786,4;116;
11.1.2018;33,40;33,60;31,60;34,00;31,50;33,70;32,592;13265;432334,7;154;
10.1.2018;31,50;31,90;30,70;32,00;30,70;31,50;31,253;6283;196364,2;86;
9.1.2018;30,80;30,90;30,00;31,00;30,00;30,80;30,708;5650;173497,1;79;
8.1.2018;29,70;30,00;30,10;30,70;29,70;29,70;30,259;8383;253664,1;111;
5.1.2018;29,80;30,10;29,20;30,30;29,10;30,10;29,742;7325;217859,2;88;
4.1.2018;29,00;29,10;29,00;29,20;28,90;29,00;29,017;2720;78925;53;
3.1.2018;29,00;29,20;28,80;29,40;28,20;28,90;28,873;6689;193133,4;111;
2.1.2018;28,80;28,90;29,00;29,00;28,10;28,80;28,546;6228;177781,5;119;
29.12.2017;28,95;29,00;28,95;30,52;28,95;29,00;29,904;10360;309805,11;168;
28.12.2017;28,29;28,85;26,50;28,88;26,50;28,64;27,419;6733;184608,54;103;
27.12.2017;26,47;26,48;26,20;26,50;26,02;26,48;26,39;3227;85160,85;57;
22.12.2017;25,70;25,98;26,00;26,00;25,67;25,98;25,85;1169;30218,8;25;
21.12.2017;25,86;26,00;26,00;26,00;25,80;26,00;25,99;930;24170,9;14;
20.12.2017;25,92;26,00;25,95;26,00;25,90;26,00;25,982;5426;140979,2;31;
19.12.2017;25,81;25,95;25,85;25,95;25,65;25,95;25,787;3231;83318,58;36;
18.12.2017;25,80;25,85;25,92;25,92;25,80;25,85;25,877;1337;34597,88;31;
15.12.2017;25,68;25,90;25,77;25,95;25,66;25,90;25,855;1388;35886,99;33;
14.12.2017;25,43;25,55;25,78;25,78;25,50;25,55;25,524;1125;28714,66;14;
13.12.2017;25,55;25,78;25,94;25,94;25,78;25,78;25,786;165;4254,7;7;
12.12.2017;25,36;25,95;25,90;25,95;25,37;25,37;25,833;2553;65952,15;39;
11.12.2017;25,90;25,95;25,99;26,00;25,80;25,95;25,954;755;19595,38;21;
8.12.2017;25,90;25,99;26,15;26,18;25,80;25,99;26,048;1102;28705,31;24;
7.12.2017;25,80;25,90;26,00;26,00;25,80;25,90;25,954;931;24163,39;29;
5.12.2017;26,00;26,14;26,15;26,15;26,00;26,00;26,13;999;26103,41;18;
4.12.2017;26,10;26,11;26,11;26,12;26,10;26,11;26,112;1663;43424,68;71;
1.12.2017;26,00;26,10;26,13;26,15;26,00;26,10;26,109;1205;31460,91;25;
30.11.2017;26,12;26,15;26,15;26,15;26,11;26,15;26,146;1967;51429,76;30;
29.11.2017;26,14;26,15;26,14;26,15;26,11;26,15;26,135;1130;29532,1;27;
28.11.2017;26,13;26,14;26,15;26,15;26,13;26,14;26,143;580;15162,67;12;
27.11.2017;26,01;26,15;26,18;26,18;26,00;26,15;26,115;2385;62284,33;45;
24.11.2017;26,10;26,15;25,90;26,18;25,75;26,15;25,899;2322;60137,1;29;
